,logFC,AveExpr,t,P.Value,adj.P.Val,B
NDUFA12,0.236618049,6.742585704,2.60212468,0.013620547,0.088240367,-3.321007566
CTCFL,0.160477269,5.089303257,2.600765745,0.013665448,0.088240367,-3.323946389
NRP1,-0.333733962,6.157927954,-2.598257376,0.013748685,0.088240367,-3.329368313
ROBO4,-0.180431621,5.222113889,-2.597742167,0.01376584,0.088240367,-3.330481529
H2AX,0.416895175,7.059814423,2.597703515,0.013767127,0.088240367,-3.33056504
LCK,-0.166457328,5.045908784,-2.597273243,0.01378147,0.088240367,-3.331494611
C5,0.22292659,5.531402023,2.593391892,0.013911475,0.08875913,-3.339875399
TAB1,0.217441361,6.015911875,2.584723611,0.014205909,0.090054702,-3.358562469
PSMB5,0.299113135,7.003927702,2.584489739,0.014213932,0.090054702,-3.359066078
ARG2,0.306522935,6.032625129,2.575913562,0.014511032,0.091301859,-3.377512735
ELK1,0.265622552,6.093631105,2.575898637,0.014511554,0.091301859,-3.377544802
NTHL1,0.264699965,5.60829009,2.571036869,0.014682512,0.091455396,-3.387983965
ADGRE1,0.213377241,5.229512579,2.569905709,0.014722553,0.091455396,-3.390410909
CACNG1,0.195201736,5.174964636,2.567863561,0.014795095,0.091455396,-3.394790609
NDUFA6,0.373440366,6.891135841,2.567326475,0.014814229,0.091455396,-3.395942087
MAGEA4,0.241554647,5.522921358,2.565437492,0.014881703,0.091455396,-3.399990677
IL16,0.17870269,5.261442446,2.564101658,0.01492959,0.091455396,-3.402852524
FCGR1A,-0.222471268,5.451972938,-2.563964044,0.014934531,0.091455396,-3.403147286
HLA-G,0.176233392,5.371651635,2.563819199,0.014939733,0.091455396,-3.403457527
ARID1A,0.227089276,7.342281065,2.561356469,0.015028444,0.091464521,-3.408730611
IL1RL2,0.240546544,5.474862422,2.560976376,0.015042178,0.091464521,-3.409544147
PBX3,0.328538408,6.210192724,2.555759029,0.015231875,0.092308219,-3.420703017
IL18RAP,0.160055604,5.46784686,2.553823528,0.015302805,0.092428942,-3.424838804
